reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,day_diff,helpful_yes,total_vote
AYMGKDLMEN0A5,B007WTAJTO,AL,"[0, 0]",Shipped fast and worked really well!  I use this just in case I have to take a lot of photos! Loads fast!,5,Works very well!,1400025600,2014-05-14,208,0,0
A2T71JNR3C2DY1,B007WTAJTO,"Ali Etezadkhah ""Ali""","[0, 0]","I have an old SanDisk SD card that still works. I thought their new cards would be just as reliable, but I was wrong.The microsd card failed yesterday inside my phone. I used the adapter to connect it to my computer, but it wouldn't mount.I bought this directly from Amazon and not a third party vendor, so I know it's genuine SanDisk.",1,Failed after 6 months,1371859200,2013-06-22,534,0,0
A1ENX274Q7M6PD,B007WTAJTO,Ali M. Faraj,"[0, 0]",I bought this memory card for my Samsung Note 10.1. i amis really happy about it and i am recommending this product & am very pleased about it.,5,Great !!,1359244800,2013-01-27,680,0,0
A5L34G2P8LQKJ,B007WTAJTO,Ali Saberi,"[0, 0]","Shipping was fast , the product has a great quality and a great pricing.I like this manufacture and I am going to order them for my other devices.Lots of space",5,Good performance,1395187200,2014-03-19,264,0,0
A38I3TXSFLGQTD,B007WTAJTO,Alisha,"[0, 0]",So far so good. I bought a samsung micro sd card from bestbuy and it somehow erasedeverything. So this is my second one. Hopefully it keeps all of my stuff,4,Good price!,1386201600,2013-05-12,575,0,0
A294SAGR2QHARD,B007WTAJTO,alisha,"[0, 0]",still have 26 gb left came in HARD CASE  FORE PROTECTION,4,Four Stars,1405036800,2014-11-07,31,0,0
A3GW32TC64P8FD,B007WTAJTO,Ali Tweel,"[0, 0]","I'm using this SD card in my Samsung Galaxy S3 instead of another one I bought with the same manufacture ""SanDisk 32 GB Mobile microSDHC Flash Memory Card SDSDQ-032G-AFFP"" (http://www.amazon.com/gp/product/B007KFXIDE/ref=oh_details_o04_s00_i02?ie=UTF8&psc;=1).It's working perfectly since October 2012.",5,The Best SD Card I've ever had,1369526400,2013-05-26,561,0,0
A87U7LY9OKZNY,B007WTAJTO,A. Liu,"[0, 0]",Used it in my Galaxy Note 2 for the past 16 months. All the sudden it is no longer writable. I tried many ways to reformat the card. Even Windows says format successful but all files remain after I remove and re-insert the card. Since I have private files in the card I'm not able to delete. I do not want to sent it back to SanDisk for replacement.,2,Not writable after 16 months,1398988800,2014-02-05,306,0,0
A256SA0PNN78BD,B007WTAJTO,aljacobs,"[0, 0]","Usual SanDisk quality worked as expected and delivered on time, no problems worked great on my Android Samsung Tablet.",5,Good Stuff- Small Package,1404864000,2014-09-07,92,0,0
A3QU89RBYRMR67,B007WTAJTO,ALJ,"[0, 0]","Put in the lumix camera and it works fast and great, no complaints, never had any issues, highly recommended, this brand always comes through  .",5,Perfect,1366243200,2013-04-18,599,0,0
A2FZASG3FHLEUW,B007WTAJTO,Allan Araya Martnez,"[0, 0]",Great product with enough capacity and it delivers performance. I am happy with this product on my Samsung Galaxy S4 phone.,5,Nice capacity and performance,1388016000,2013-12-26,347,0,0
A3LBEV0UWH9V2G,B007WTAJTO,Allen,"[0, 0]","Got this because you can't beat the price and Sandisk has so far always been reliable for me.  I own two 32gb UHS-1 cards and a few older (16gb, 8gb, class 4, class 6, etc) Sandisk MicroSDs not including my standard SDs or my USB thumb drives and they have stood up to my tests with only one card I can think of failing, which I was still able to recover all the data from (just not write to it anymore) and I'm pretty hard on my rewritable media.  What more can you say?",5,Sandisk,1394841600,2014-03-15,268,0,0
A11EYCKTG465YJ,B007WTAJTO,Amazon Customer,"[0, 0]","Product works as advertised. No issues with install or general use in my mobile phone. It doesn't seem particularly snappy, but that may be more the phone than anything else.",4,"Installed in my HTC thunderbolt, works fine!",1362787200,2013-09-03,461,0,0
ADBDY2ALX036,B007WTAJTO,Amazon Customer,"[0, 0]","Quick little puppy, SanDisk makes nice quality stuff with one exception.The adapter that came with it to let it work in the bigger slot failed horribly after 4 days.Adapters, psh!But my Transformer likes it, treats it like a child and it fits very snugly into the latching system (a recent store bought one wiggles?!?)",4,"Fast, quick, easy, tiny as all get out!",1389225600,2014-09-01,98,0,0
A24GQAPXMDZT0K,B007WTAJTO,Amazon Customer,"[0, 0]","Replaced a smaller and slower micro SD card in my phone. I've had other brands corrupt and die in the past. I've grown to only trust SanDisk.It is faster than most other micro-SD cards, the price was right at $27.",4,Decent speeds,1353888000,2012-11-26,742,0,0
