reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,day_diff,helpful_yes,total_vote,rating,review_response
AYMGKDLMEN0A5,B007WTAJTO,AL,"[0, 0]",Shipped fast and worked really well!  I use this just in case I have to take a lot of photos! Loads fast!,5,Works very well!,1400025600,2014-05-14,208,0,0,5,"Thank you for your positive review! We're glad to hear that you found the fast shipping and quick loading times beneficial, especially when taking a lot of photos. Enjoy your new memory card!"
A2T71JNR3C2DY1,B007WTAJTO,"Ali Etezadkhah ""Ali""","[0, 0]","I have an old SanDisk SD card that still works. I thought their new cards would be just as reliable, but I was wrong.The microsd card failed yesterday inside my phone. I used the adapter to connect it to my computer, but it wouldn't mount.I bought this directly from Amazon and not a third party vendor, so I know it's genuine SanDisk.",1,Failed after 6 months,1371859200,2013-06-22,534,0,0,1,"We're sorry to hear about the issues with your SanDisk microSD card. Since it failed to mount and you've confirmed its authenticity, we recommend contacting SanDisk customer support for further assistance. They may be able to help resolve your issue."
A1ENX274Q7M6PD,B007WTAJTO,Ali M. Faraj,"[0, 0]",I bought this memory card for my Samsung Note 10.1. i amis really happy about it and i am recommending this product & am very pleased about it.,5,Great !!,1359244800,2013-01-27,680,0,0,5,Thank you for your glowing review! We're thrilled that you're enjoying your memory card with the Samsung Note 10.1 and appreciate your recommendation.
A5L34G2P8LQKJ,B007WTAJTO,Ali Saberi,"[0, 0]","Shipping was fast , the product has a great quality and a great pricing.I like this manufacture and I am going to order them for my other devices.Lots of space",5,Good performance,1395187200,2014-03-19,264,0,0,5,"Thank you for your positive feedback! We're delighted to hear that you appreciated the fast shipping, great quality, and pricing of the product. Enjoy the ample storage space!"
A38I3TXSFLGQTD,B007WTAJTO,Alisha,"[0, 0]",So far so good. I bought a samsung micro sd card from bestbuy and it somehow erasedeverything. So this is my second one. Hopefully it keeps all of my stuff,4,Good price!,1386201600,2013-05-12,575,0,0,3,"Thank you for your feedback. We're glad to hear that your current Samsung microSD card is performing well so far. We hope it continues to securely store all your data. If you encounter any issues, please feel free to reach out."
A294SAGR2QHARD,B007WTAJTO,alisha,"[0, 0]",still have 26 gb left came in HARD CASE  FORE PROTECTION,4,Four Stars,1405036800,2014-11-07,31,0,0,4,Thank you for your review! It sounds like you're enjoying the remaining storage space and the protective hard case. We hope you continue to find it useful.
A3GW32TC64P8FD,B007WTAJTO,Ali Tweel,"[0, 0]","I'm using this SD card in my Samsung Galaxy S3 instead of another one I bought with the same manufacture ""SanDisk 32 GB Mobile microSDHC Flash Memory Card SDSDQ-032G-AFFP"" (http://www.amazon.com/gp/product/B007KFXIDE/ref=oh_details_o04_s00_i02?ie=UTF8&psc;=1).It's working perfectly since October 2012.",5,The Best SD Card I've ever had,1369526400,2013-05-26,561,0,0,5,Thank you for your review! We're pleased to hear that your SanDisk 32 GB Mobile microSDHC card has been working perfectly in your Samsung Galaxy S3 for such a long time. It's great to know you've found a reliable product!
A87U7LY9OKZNY,B007WTAJTO,A. Liu,"[0, 0]",Used it in my Galaxy Note 2 for the past 16 months. All the sudden it is no longer writable. I tried many ways to reformat the card. Even Windows says format successful but all files remain after I remove and re-insert the card. Since I have private files in the card I'm not able to delete. I do not want to sent it back to SanDisk for replacement.,2,Not writable after 16 months,1398988800,2014-02-05,306,0,0,1,"We're sorry to hear about the trouble with your memory card becoming non-writable. Since formatting attempts haven't resolved the issue, we recommend reaching out to SanDisk customer support for assistance. They can guide you through potential solutions while ensuring your private files are handled securely."
A256SA0PNN78BD,B007WTAJTO,aljacobs,"[0, 0]","Usual SanDisk quality worked as expected and delivered on time, no problems worked great on my Android Samsung Tablet.",5,Good Stuff- Small Package,1404864000,2014-09-07,92,0,0,5,Thank you for your review! We're delighted to hear that the SanDisk card met your expectations and worked flawlessly with your Android Samsung Tablet. Enjoy your reliable storage solution!
A3QU89RBYRMR67,B007WTAJTO,ALJ,"[0, 0]","Put in the lumix camera and it works fast and great, no complaints, never had any issues, highly recommended, this brand always comes through  .",5,Perfect,1366243200,2013-04-18,599,0,0,5,Thank you for your enthusiastic review! It's great to hear that the card works fast and flawlessly in your Lumix camera. We appreciate your recommendation and are glad the brand has consistently delivered for you.
A2FZASG3FHLEUW,B007WTAJTO,Allan Araya Martnez,"[0, 0]",Great product with enough capacity and it delivers performance. I am happy with this product on my Samsung Galaxy S4 phone.,5,Nice capacity and performance,1388016000,2013-12-26,347,0,0,5,Thank you for your positive feedback! We're thrilled to hear that you're satisfied with the performance and capacity of the product on your Samsung Galaxy S4. Enjoy your upgraded storage!
A3LBEV0UWH9V2G,B007WTAJTO,Allen,"[0, 0]","Got this because you can't beat the price and Sandisk has so far always been reliable for me.  I own two 32gb UHS-1 cards and a few older (16gb, 8gb, class 4, class 6, etc) Sandisk MicroSDs not including my standard SDs or my USB thumb drives and they have stood up to my tests with only one card I can think of failing, which I was still able to recover all the data from (just not write to it anymore) and I'm pretty hard on my rewritable media.  What more can you say?",5,Sandisk,1394841600,2014-03-15,268,0,0,4,"Thank you for your review! It's great to know that you've had a reliable experience with SanDisk products, and we appreciate your trust in the brand. It's impressive that you've had success recovering data even when a card failed. We hope your new purchase continues to meet your expectations."
A11EYCKTG465YJ,B007WTAJTO,Amazon Customer,"[0, 0]","Product works as advertised. No issues with install or general use in my mobile phone. It doesn't seem particularly snappy, but that may be more the phone than anything else.",4,"Installed in my HTC thunderbolt, works fine!",1362787200,2013-09-03,461,0,0,4,"Thank you for your feedback! We're glad to hear that the product works as expected in your mobile phone, even if the speed isn't as quick as anticipated. It might indeed be a device-related issue rather than the card itself. We hope you continue to enjoy using it."
ADBDY2ALX036,B007WTAJTO,Amazon Customer,"[0, 0]","Quick little puppy, SanDisk makes nice quality stuff with one exception.The adapter that came with it to let it work in the bigger slot failed horribly after 4 days.Adapters, psh!But my Transformer likes it, treats it like a child and it fits very snugly into the latching system (a recent store bought one wiggles?!?)",4,"Fast, quick, easy, tiny as all get out!",1389225600,2014-09-01,98,0,0,3,"Thank you for sharing your experience! We're pleased to hear that your card is working well with your device, though we're sorry about the adapter issue. Adapters can sometimes be finicky, and we appreciate your understanding. If the problem persists, please consider reaching out to customer support."
A24GQAPXMDZT0K,B007WTAJTO,Amazon Customer,"[0, 0]","Replaced a smaller and slower micro SD card in my phone. I've had other brands corrupt and die in the past. I've grown to only trust SanDisk.It is faster than most other micro-SD cards, the price was right at $27.",4,Decent speeds,1353888000,2012-11-26,742,0,0,5,Thank you for your review! We're glad you trusted SanDisk for your upgrade and found the card faster and reliable compared to previous experiences with other brands. Enjoy the enhanced speed and storage!
A29TSPI4U7YV9M,B007WTAJTO,Amazon Customer,"[0, 0]","Simply put the card works well in my NOTE 3, gives me the extra space needed and to date has worked flawlessly. I upgraded from a 64GB Sandisk to the 128GB with no issues. Plenty of space available now in my phone and I can keep movies and music local. Some people have scoffed online about using such a large card but the reality of it is that you don't always have data service and when that time comes, such as when you're on a plane, its nice to have access to some movies and music that you've kept on local storage.So far its worked in my NOTE 3 and SG4.",5,just the thing I needed for my NOTE 3,1398729600,2014-04-29,223,0,0,5,Thank you for your detailed review! It's fantastic to hear that your 128GB card provides ample space for your media needs and works flawlessly across your devices. We agree that having local storage is practical for times without data service. Enjoy your music and movies on the go!
A2S116Z6L8MP1X,B007WTAJTO,Amazon Customer,"[0, 0]","So I'm not going to pretend to be an expert on sd cards, but I still like this one. It is relatively inexpensive, works wonderfully for the movies I want to store and watch on my samsung galaxy tab 7 2.0, and I haven't had a single problem with storage yet.",5,All of the space!,1376265600,2013-12-08,365,0,0,5,"Thank you for your review! We're happy that you found the card to be a good, inexpensive solution for storing and watching movies on your Samsung Galaxy Tab. Enjoy seamless entertainment!"
A26MKYA0OFD9XI,B007WTAJTO,Amazon Customer,"[0, 0]",The card arrived promptly and has worked flawlessly in a dashcam. Would recommend purchase to others if they need this kind of card.,5,Good card,1388966400,2014-06-01,190,0,0,5,Thank you for your recommendation! It's great to hear that the card works flawlessly in your dashcam. We appreciate your endorsement and hope it continues to perform well.
A2OWNOFM76M3VV,B007WTAJTO,Amazon Customer,"[0, 0]","The card looks good, works fine, I didn't do too much test with it.My only complaint until now is the package, there's a line marked on the back for you to cut, I cut along the line, and nothing happened, no opening at all, all cardboard glued tightly. so I cut near the card, only to found I cut the supposed plastic card case/storage shell, now I took it out, and no storage case to store. Not a functional problem, but annoying.",4,"Looks good, the package is horrible though",1355270400,2012-12-12,726,0,0,3,"Thank you for your feedback! We're glad the card is working well for you, but we're sorry to hear about the packaging issue. We understand how frustrating it can be when packaging doesn't function as expected. We hope this doesn't deter from your overall satisfaction with the product."
A3R2TY7PFN9VSM,B007WTAJTO,Amazon Customer,"[0, 0]","The package arrived on time, it's very well packed and it's got an adapter. It works perfectly with my phone, though it doesn't allow a computer format, once it's been on the phone, so it asks you to erase everything before you use it on a computer. So if you're planning on buying this for different purposes and devices, gotta be aware of this. I just need for my phone, so I transfer files with my usb cable, that works just right. I also give it a 3 star because it says there are 64gb, but even when it's totally formatted it only reaches to 60gb..sooo, I don't know where my other 4 gb are...anyways, overall it's working well. I do think it's expensive for what it is.",3,Almost,1375660800,2013-05-08,579,0,0,3,"Thank you for your detailed review. It's great that the card works perfectly with your phone and the adapter is useful. However, we're sorry to hear about the formatting and capacity discrepancies. The difference in storage size is due to the way manufacturers calculate gigabytes (1GB = 1 billion bytes), which can be confusing. We hope you continue to find the card useful for your phone."
AS8984CRFM1OS,B007WTAJTO,Amazon Customer,"[0, 0]",There really isn't much to say about a micro SD card: it either works or it doesn't. I bought this to install in my phone and it seems to be working fine. The fit was perfect and the performance is totally satisfactory. I've never had any trouble with SanDisk products and this will likely be no exception. It was a great value compared to places I had priced locally.,5,What's there to say about an SD card?,1353974400,2012-11-27,741,0,0,5,Thank you for your review! We're pleased to hear that the micro SD card is working perfectly in your phone and that you found it to be a great value. We appreciate your continued trust in SanDisk products.
A1TGQIP9QXYFUZ,B007WTAJTO,Amazon Customer,"[0, 0]",The SanDisk Ultra 16GB memory card has shown no sign of not being exactly what I needed.  A good deal.,4,Good value,1395878400,2014-03-27,256,0,0,5,Thank you for your review! It's great to hear that the SanDisk Ultra 16GB memory card met your needs and you found it to be a good deal. Enjoy the reliable storage!
A2Z2ANFDUJBB9R,B007WTAJTO,Amazon Customer,"[0, 0]",This card has worked flawlessly in my phone for about three months! I had an smaller and slower card in it that this replaced. When doing pictures and video you can definitely tell the difference in write speed between a class ten and four.,5,works fast and great,1388534400,2014-01-01,341,0,0,5,Thank you for your feedback! We're delighted to hear that the card has made a noticeable difference in speed for your pictures and videos. Enjoy the enhanced performance!
A3DH4XZEZHQRRE,B007WTAJTO,Amazon Customer,"[0, 0]",This chip is holding all my music and photos so they are ready to share with friends and family on my tablet. Quick response and no drop outs or lags.  Price was amazing!!,5,It's from SanDisk!,1390867200,2014-01-28,314,0,0,5,"Thank you for your enthusiastic review! We're thrilled that the chip is performing well for storing and sharing your music and photos, with quick response times and no issues. Enjoy your seamless experience!"
A290EDOBCFN9WY,B007WTAJTO,Amazon Customer,"[0, 0]","This is a great SD card, it's very fast and works well.  I have been using it for my GoPro with no complaints.",5,Good SD card,1372291200,2013-06-27,529,0,0,5,Thank you for your review! We're glad to hear that the SD card is fast and works well for your GoPro. Enjoy capturing great moments with it!
